epoch,accuracy,loss
1,0.5768,0.6645
2,0.6875,0.5951
3,0.7677,0.5224
4,0.8075,0.4552
5,0.8613,0.3739
6,0.8659,0.3288
7,0.894,0.2828
8,0.9041,0.298
9,0.9166,0.2911
10,0.9213,0.2179
11,0.9275,0.2081
12,0.9205,0.2607
13,0.9236,0.2442
14,0.9369,0.1711
15,0.9353,0.2155
16,0.9423,0.1646
17,0.9501,0.145
18,0.9571,0.1434
19,0.9337,0.1806
20,0.9361,0.1701
21,0.947,0.1361
22,0.9423,0.2033
23,0.9415,0.1318
24,0.9493,0.2304
25,0.9564,0.1207
26,0.9454,0.1599
27,0.9509,0.1358
28,0.9618,0.1782
29,0.9353,0.1636
30,0.9501,0.1385
31,0.9454,0.2452
32,0.9649,0.1026
33,0.9602,0.1035
34,0.9727,0.0863
35,0.9696,0.1046
36,0.9626,0.1091
37,0.9673,0.0862
38,0.9618,0.2099
39,0.9688,0.0915
40,0.9618,0.1012
41,0.9665,0.0896
42,0.9758,0.0848
43,0.9735,0.0907
44,0.9751,0.1053
45,0.9743,0.1426
46,0.9743,0.0831
47,0.9719,0.0806
48,0.9688,0.1903
49,0.9727,0.0841
50,0.9704,0.1984
51,0.9758,0.0779
52,0.9727,0.0788
53,0.9735,0.0828
54,0.9673,0.0946
55,0.9805,0.1869
56,0.9696,0.0883
57,0.9758,0.0732
58,0.9719,0.1802
59,0.9774,0.0683
60,0.979,0.1737
61,0.9735,0.0782
62,0.9743,0.0859
63,0.9797,0.0666
64,0.9751,0.0971
65,0.9712,0.0774
66,0.9782,0.0734
67,0.9774,0.0722
68,0.9743,0.0709
69,0.9774,0.0687
70,0.9797,0.0682
71,0.979,0.1624
72,0.9712,0.126
73,0.9758,0.0688
74,0.9766,0.1887
75,0.9735,0.0747
76,0.979,0.0737
77,0.9719,0.0815
78,0.9751,0.0807
79,0.9774,0.0748
80,0.9782,0.1625
81,0.9813,0.0855
82,0.979,0.065
83,0.9751,0.0728
84,0.9751,0.0791
85,0.9797,0.1068
86,0.9719,0.1117
87,0.9743,0.0683
88,0.9836,0.0725
89,0.9813,0.0669
90,0.9805,0.1698
91,0.9758,0.0746
92,0.979,0.0724
93,0.9821,0.0696
94,0.9712,0.1623
95,0.9735,0.0746
96,0.979,0.0667
97,0.9712,0.0788
98,0.9665,0.1816
99,0.9782,0.1958
100,0.9797,0.1525
101,0.9743,0.0728
102,0.9719,0.1508
103,0.9844,0.0695
104,0.9813,0.0572
105,0.9774,0.1168
106,0.9751,0.0715
107,0.9743,0.0725
108,0.979,0.164
109,0.979,0.0827
110,0.9743,0.1536
111,0.9782,0.0717
112,0.9774,0.1057
113,0.979,0.0626
114,0.9735,0.1464
115,0.979,0.0639
116,0.9844,0.1691
117,0.9719,0.098
118,0.9782,0.0696
119,0.9782,0.0712
120,0.9797,0.0603
121,0.9774,0.0745
122,0.9766,0.1689
123,0.9797,0.0724
124,0.9805,0.0667
125,0.9751,0.1647
126,0.9766,0.0844
127,0.9797,0.1563
128,0.9766,0.0741
129,0.9797,0.0669
130,0.9712,0.0868
131,0.9797,0.0707
132,0.979,0.0962
133,0.9743,0.0782
134,0.9766,0.0667
135,0.9735,0.1735
136,0.9751,0.1473
137,0.9751,0.1452
138,0.9743,0.1804
139,0.9735,0.0712
140,0.9774,0.0803
141,0.9751,0.1626
142,0.9751,0.0755
143,0.9704,0.0794
144,0.9797,0.067
145,0.9774,0.1688
146,0.9758,0.1581
147,0.9797,0.0686
148,0.9751,0.1071
149,0.9751,0.0679
150,0.9727,0.0857
151,0.9797,0.1897
152,0.9852,0.141
153,0.9821,0.0621
154,0.9867,0.055
155,0.9743,0.0801
156,0.9766,0.1051
157,0.9743,0.0761
158,0.9766,0.0726
159,0.9719,0.0773
160,0.9727,0.1868
161,0.9743,0.0709
162,0.9836,0.1398
163,0.9696,0.1714
164,0.9813,0.09
165,0.9782,0.0624
166,0.9766,0.1464
167,0.9719,0.1436
168,0.979,0.0806
169,0.9797,0.0826
170,0.9758,0.0674
171,0.979,0.072
172,0.9719,0.0772
173,0.9774,0.0655
174,0.979,0.0838
175,0.9836,0.0646
176,0.9766,0.1661
177,0.979,0.0688
178,0.9821,0.0664
179,0.9797,0.0638
180,0.9719,0.0928
181,0.9696,0.0869
182,0.9758,0.0773
183,0.9727,0.0818
184,0.9797,0.0738
185,0.9766,0.0836
186,0.9735,0.0687
187,0.9727,0.0794
188,0.9782,0.1717
189,0.9829,0.0615
190,0.9774,0.0993
191,0.9805,0.1714
192,0.9758,0.0706
193,0.9758,0.0688
194,0.9797,0.0662
195,0.9766,0.073
196,0.9704,0.203
197,0.9766,0.1896
198,0.9805,0.0916
199,0.9844,0.098
200,0.9696,0.1962
